2022-02-23 23:15:15.211572 > 	Starting compilation of LCUcircZbasis
2022-02-23 23:15:15.212029 > 	There are 56 processors available to Pool.
2022-02-23 23:15:15.212078 > 	The branching factor is 2.
2022-02-23 23:15:15.212121 > 	The beam factor is 28.
2022-02-23 23:15:15.459062 > 	Creating a pool of 56 workers
2022-02-23 23:15:15.990307 > 	New best! 0.02896535366983243 at depth 0
2022-02-23 23:15:15.990774 > 	Popped a node with score: 0.2896535366983243 at depth: 0
2022-02-23 23:15:16.578545 > 	New best! score: 0.28148372406124655 at depth: 1
2022-02-23 23:15:16.578735 > 	Layer completed after 0.5878463499248028 seconds
2022-02-23 23:15:16.579424 > 	Popped a node with score: 0.28148372406124655 at depth: 1
2022-02-23 23:15:16.580174 > 	Popped a node with score: 0.2903774131054242 at depth: 1
2022-02-23 23:15:16.691627 > 	New best! score: 0.22350249508352704 at depth: 2
2022-02-23 23:15:16.963919 > 	Layer completed after 0.3835282288491726 seconds
2022-02-23 23:15:16.965294 > 	Popped a node with score: 0.22350249508352704 at depth: 2
2022-02-23 23:15:16.965443 > 	Popped a node with score: 0.24896489858759419 at depth: 2
2022-02-23 23:15:16.965915 > 	Popped a node with score: 0.2867808367556677 at depth: 2
2022-02-23 23:15:16.966420 > 	Popped a node with score: 0.29023641698261415 at depth: 2
2022-02-23 23:15:17.159990 > 	New best! score: 0.22346917497815688 at depth: 3
2022-02-23 23:15:17.227086 > 	New best! score: 0.2140788698248084 at depth: 3
2022-02-23 23:15:17.764543 > 	New best! score: 0.196845318568439 at depth: 3
2022-02-23 23:15:17.764763 > 	Layer completed after 0.798176608979702 seconds
2022-02-23 23:15:17.767331 > 	Popped a node with score: 0.196845318568439 at depth: 3
2022-02-23 23:15:17.767884 > 	Popped a node with score: 0.2140788698248084 at depth: 3
2022-02-23 23:15:17.768428 > 	Popped a node with score: 0.22346917497815688 at depth: 3
2022-02-23 23:15:17.768988 > 	Popped a node with score: 0.2282927457655547 at depth: 3
2022-02-23 23:15:17.769094 > 	Popped a node with score: 0.23941377971060662 at depth: 3
2022-02-23 23:15:17.769181 > 	Popped a node with score: 0.24211310365389216 at depth: 3
2022-02-23 23:15:17.769257 > 	Popped a node with score: 0.24896489866088345 at depth: 3
2022-02-23 23:15:17.769330 > 	Popped a node with score: 0.2532557894871633 at depth: 3
2022-02-23 23:15:17.980098 > 	New best! score: 0.16893512980809133 at depth: 4
2022-02-23 23:15:17.982994 > 	New best! score: 0.15912743787649208 at depth: 4
2022-02-23 23:15:18.036888 > 	New best! score: 0.10122034524380807 at depth: 4
2022-02-23 23:15:18.136061 > 	New best! score: 0.09193442832092935 at depth: 4
2022-02-23 23:15:18.721627 > 	Layer completed after 0.9521634876728058 seconds
