2022-02-23 23:12:15.900901 > 	Starting compilation of PauliX0X101
2022-02-23 23:12:19.904753 > 	Popped a node with score: 0.23114633125083683 at depth: 5
2022-02-23 23:12:19.904816 > 	Popped a node with score: 0.23114633446808774 at depth: 5
2022-02-23 23:12:19.904879 > 	Popped a node with score: 0.2692701580093171 at depth: 5
2022-02-23 23:12:19.904953 > 	Popped a node with score: 0.2762814078362884 at depth: 5
2022-02-23 23:12:19.905022 > 	Popped a node with score: 0.27628140987745087 at depth: 5
2022-02-23 23:12:20.325870 > 	New best! score: 0.08912056917125599 at depth: 6
2022-02-23 23:12:20.365833 > 	New best! score: 0.025355948908758363 at depth: 6
2022-02-23 23:12:21.513371 > 	Layer completed after 1.6081657223403454 seconds
2022-02-23 23:12:21.541090 > 	Popped a node with score: 0.025355948908758363 at depth: 6
2022-02-23 23:12:21.541196 > 	Popped a node with score: 0.025361777042242184 at depth: 6
2022-02-23 23:12:21.541279 > 	Popped a node with score: 0.025585901498840546 at depth: 6
2022-02-23 23:12:21.541355 > 	Popped a node with score: 0.044808579776524526 at depth: 6
2022-02-23 23:12:21.541430 > 	Popped a node with score: 0.07156854548482239 at depth: 6
2022-02-23 23:12:21.541503 > 	Popped a node with score: 0.07156854570528282 at depth: 6
2022-02-23 23:12:21.541573 > 	Popped a node with score: 0.08493365806345021 at depth: 6
2022-02-23 23:12:21.541647 > 	Popped a node with score: 0.08698153900590411 at depth: 6
2022-02-23 23:12:21.541719 > 	Popped a node with score: 0.08912056875970198 at depth: 6
2022-02-23 23:12:21.541788 > 	Popped a node with score: 0.08912056877948815 at depth: 6
2022-02-23 23:12:21.541856 > 	Popped a node with score: 0.08912056887393527 at depth: 6
2022-02-23 23:12:21.541925 > 	Popped a node with score: 0.08912056915877953 at depth: 6
2022-02-23 23:12:21.542008 > 	Popped a node with score: 0.08912056917125599 at depth: 6
2022-02-23 23:12:21.542078 > 	Popped a node with score: 0.08912056923962952 at depth: 6
2022-02-23 23:12:21.542160 > 	Popped a node with score: 0.0891205694495476 at depth: 6
2022-02-23 23:12:21.542229 > 	Popped a node with score: 0.08912057009944796 at depth: 6
2022-02-23 23:12:21.542296 > 	Popped a node with score: 0.08912057079235824 at depth: 6
2022-02-23 23:12:21.542363 > 	Popped a node with score: 0.08912057099504578 at depth: 6
2022-02-23 23:12:21.542430 > 	Popped a node with score: 0.08912057102670112 at depth: 6
2022-02-23 23:12:21.542496 > 	Popped a node with score: 0.08912057142349328 at depth: 6
2022-02-23 23:12:21.542562 > 	Popped a node with score: 0.08912057257324646 at depth: 6
2022-02-23 23:12:21.542629 > 	Popped a node with score: 0.09363364929172513 at depth: 6
2022-02-23 23:12:21.542696 > 	Popped a node with score: 0.09363364940626961 at depth: 6
2022-02-23 23:12:21.542762 > 	Popped a node with score: 0.09602590629403274 at depth: 6
2022-02-23 23:12:21.542829 > 	Popped a node with score: 0.10737717780296407 at depth: 6
2022-02-23 23:12:21.542895 > 	Popped a node with score: 0.1073771779909608 at depth: 6
2022-02-23 23:12:21.542970 > 	Popped a node with score: 0.10737717807824476 at depth: 6
2022-02-23 23:12:21.543040 > 	Popped a node with score: 0.10737717818178316 at depth: 6
2022-02-23 23:12:22.143713 > 	New best! score: 0.009539328322707874 at depth: 7
2022-02-23 23:12:22.288170 > 	New best! score: 0.00953932832128035 at depth: 7
2022-02-23 23:12:24.164488 > 	Layer completed after 2.621190257370472 seconds
2022-02-23 23:12:24.210180 > 	Popped a node with score: 0.10737717868910979 at depth: 6
2022-02-23 23:12:24.210290 > 	Popped a node with score: 0.10737717928165202 at depth: 6
2022-02-23 23:12:24.210371 > 	Popped a node with score: 0.10737717972306171 at depth: 6
2022-02-23 23:12:24.210441 > 	Popped a node with score: 0.10737718006834462 at depth: 6
2022-02-23 23:12:24.210506 > 	Popped a node with score: 0.00953932832128035 at depth: 7
2022-02-23 23:12:24.210568 > 	Popped a node with score: 0.009539328322707874 at depth: 7
2022-02-23 23:12:24.210632 > 	Popped a node with score: 0.009539328323231455 at depth: 7
2022-02-23 23:12:24.210695 > 	Popped a node with score: 0.025099991551284284 at depth: 7
2022-02-23 23:12:24.210757 > 	Popped a node with score: 0.025099991569471847 at depth: 7
2022-02-23 23:12:24.210817 > 	Popped a node with score: 0.025099991572589686 at depth: 7
2022-02-23 23:12:24.210876 > 	Popped a node with score: 0.025099991578053538 at depth: 7
2022-02-23 23:12:24.210935 > 	Popped a node with score: 0.025099991581516434 at depth: 7
2022-02-23 23:12:24.211016 > 	Popped a node with score: 0.025099991583595438 at depth: 7
2022-02-23 23:12:24.211076 > 	Popped a node with score: 0.025099991587167025 at depth: 7
2022-02-23 23:12:24.211135 > 	Popped a node with score: 0.02509999159484666 at depth: 7
2022-02-23 23:12:24.211193 > 	Popped a node with score: 0.025099991693763313 at depth: 7
2022-02-23 23:12:24.211252 > 	Popped a node with score: 0.025099991710613168 at depth: 7
2022-02-23 23:12:24.211310 > 	Popped a node with score: 0.025099992535143167 at depth: 7
2022-02-23 23:12:24.211368 > 	Popped a node with score: 0.02511350810453583 at depth: 7
2022-02-23 23:12:24.211426 > 	Popped a node with score: 0.1306174086234707 at depth: 6
2022-02-23 23:12:24.211485 > 	Popped a node with score: 0.033507907034401874 at depth: 7
2022-02-23 23:12:24.211543 > 	Popped a node with score: 0.033507907084138866 at depth: 7
2022-02-23 23:12:24.211601 > 	Popped a node with score: 0.033507907092833245 at depth: 7
2022-02-23 23:12:24.211658 > 	Popped a node with score: 0.03579111823873726 at depth: 7
2022-02-23 23:12:24.211718 > 	Popped a node with score: 0.035791118261025545 at depth: 7
2022-02-23 23:12:24.211777 > 	Popped a node with score: 0.0357911182965196 at depth: 7
2022-02-23 23:12:24.211836 > 	Popped a node with score: 0.14569414794524782 at depth: 6
2022-02-23 23:12:24.211894 > 	Popped a node with score: 0.14569414845542827 at depth: 6
2022-02-23 23:12:24.648512 > 	New best! score: -4.440892098500626e-16 at depth: 8
2022-02-23 23:12:25.777157 > 	Layer completed after 1.564976118505001 seconds
2022-02-23 23:12:25.866931 > 	Finished compilation at depth 8 with score -4.440892098500626e-16 after 9.96572496369481 seconds.
2022-02-23 23:12:25.868706 > 	Finished compilation of PauliX0X101
2022-02-23 23:12:25.872819 > 	Recorded results from compilation.
2022-02-23 23:12:25.873167 > 	Deleted checkpoint file.
