2022-02-23 23:15:41.388951 > 	Starting compilation of LCUcircYbasis
2022-02-23 23:15:41.389355 > 	There are 56 processors available to Pool.
2022-02-23 23:15:41.389400 > 	The branching factor is 2.
2022-02-23 23:15:41.389439 > 	The beam factor is 28.
2022-02-23 23:15:41.554479 > 	Creating a pool of 56 workers
2022-02-23 23:15:42.106082 > 	New best! 0.028965353547238826 at depth 0
2022-02-23 23:15:42.108150 > 	Popped a node with score: 0.28965353547238826 at depth: 0
2022-02-23 23:15:42.691238 > 	New best! score: 0.2814837231457965 at depth: 1
2022-02-23 23:15:42.691608 > 	Layer completed after 0.58324084430933 seconds
2022-02-23 23:15:42.693461 > 	Popped a node with score: 0.2814837231457965 at depth: 1
2022-02-23 23:15:42.694052 > 	Popped a node with score: 0.29037741307297116 at depth: 1
2022-02-23 23:15:42.802537 > 	New best! score: 0.24896490111373504 at depth: 2
2022-02-23 23:15:42.864109 > 	New best! score: 0.22350249433048508 at depth: 2
2022-02-23 23:15:43.040315 > 	Layer completed after 0.3458656556904316 seconds
2022-02-23 23:15:43.043929 > 	Popped a node with score: 0.22350249433048508 at depth: 2
2022-02-23 23:15:43.044132 > 	Popped a node with score: 0.24896490111373504 at depth: 2
2022-02-23 23:15:43.045025 > 	Popped a node with score: 0.2867808331459404 at depth: 2
2022-02-23 23:15:43.045296 > 	Popped a node with score: 0.29023642896125634 at depth: 2
2022-02-23 23:15:43.256360 > 	New best! score: 0.22346917318631654 at depth: 3
2022-02-23 23:15:43.329797 > 	New best! score: 0.21407886944695087 at depth: 3
2022-02-23 23:15:43.467805 > 	New best! score: 0.19684531801274696 at depth: 3
2022-02-23 23:15:43.709776 > 	Layer completed after 0.6642413958907127 seconds
2022-02-23 23:15:43.715489 > 	Popped a node with score: 0.19684531801274696 at depth: 3
2022-02-23 23:15:43.715602 > 	Popped a node with score: 0.21407886944695087 at depth: 3
2022-02-23 23:15:43.715689 > 	Popped a node with score: 0.22346917318631654 at depth: 3
2022-02-23 23:15:43.715767 > 	Popped a node with score: 0.22829275162204976 at depth: 3
2022-02-23 23:15:43.715842 > 	Popped a node with score: 0.23941377995608626 at depth: 3
2022-02-23 23:15:43.715916 > 	Popped a node with score: 0.24211310606463954 at depth: 3
2022-02-23 23:15:43.716002 > 	Popped a node with score: 0.24896489795792942 at depth: 3
2022-02-23 23:15:43.716147 > 	Popped a node with score: 0.253255777968861 at depth: 3
2022-02-23 23:15:43.895045 > 	New best! score: 0.15912743803032325 at depth: 4
2022-02-23 23:15:43.997258 > 	New best! score: 0.09193442808971652 at depth: 4
2022-02-23 23:15:44.626392 > 	Layer completed after 0.9098891727626324 seconds
2022-02-23 23:15:44.640330 > 	Popped a node with score: 0.09193442808971652 at depth: 4
2022-02-23 23:15:44.640455 > 	Popped a node with score: 0.10122034547966763 at depth: 4
2022-02-23 23:15:44.640612 > 	Popped a node with score: 0.147099509796636 at depth: 4
2022-02-23 23:15:44.640702 > 	Popped a node with score: 0.15912743803032325 at depth: 4
2022-02-23 23:15:44.640776 > 	Popped a node with score: 0.1658263965205773 at depth: 4
2022-02-23 23:15:44.640847 > 	Popped a node with score: 0.16893512878930383 at depth: 4
2022-02-23 23:15:44.640914 > 	Popped a node with score: 0.1768961531656147 at depth: 4
2022-02-23 23:15:44.640996 > 	Popped a node with score: 0.1866807711198436 at depth: 4
2022-02-23 23:15:44.641069 > 	Popped a node with score: 0.2140256319851086 at depth: 4
2022-02-23 23:15:44.641137 > 	Popped a node with score: 0.22346917250229004 at depth: 4
2022-02-23 23:15:44.641205 > 	Popped a node with score: 0.22493033341107815 at depth: 4
2022-02-23 23:15:44.641272 > 	Popped a node with score: 0.23330901582087327 at depth: 4
2022-02-23 23:15:44.641337 > 	Popped a node with score: 0.2333090327831141 at depth: 4
2022-02-23 23:15:44.641403 > 	Popped a node with score: 0.23941378315259865 at depth: 4
2022-02-23 23:15:44.641468 > 	Popped a node with score: 0.24211310646757633 at depth: 4
2022-02-23 23:15:44.641532 > 	Popped a node with score: 0.24896489795743248 at depth: 4
2022-02-23 23:15:44.902832 > 	New best! score: 0.09193288862625826 at depth: 5
2022-02-23 23:15:44.952573 > 	New best! score: 0.08419656557299304 at depth: 5
2022-02-23 23:15:47.534029 > 	Layer completed after 2.8922227025032043 seconds
