0.100000 -5.460389 -0.400000 5.860389
0.162069 -5.341995 -0.648276 5.990271
0.224138 -5.226312 -0.896552 6.122864
0.286207 -5.113328 -1.144828 6.258155
0.348276 -5.003026 -1.393103 6.396129
0.410345 -4.895387 -1.641379 6.536766
0.472414 -4.790388 -1.889655 6.680043
0.534483 -4.688003 -2.137931 6.825934
0.596552 -4.588202 -2.386207 6.974409
0.658621 -4.490953 -2.634483 7.125436
0.720690 -4.396221 -2.882759 7.278979
0.782759 -4.303967 -3.131034 7.435001
0.844828 -4.214152 -3.379310 7.593462
0.906897 -4.126733 -3.627586 7.754319
0.968966 -4.041666 -3.875862 7.917528
1.031034 -4.124138 -3.958905 8.083043
1.093103 -4.372414 -3.878404 8.250817
1.155172 -4.620690 -3.800113 8.420803
1.217241 -4.868966 -3.723983 8.592949
1.279310 -5.117241 -3.649965 8.767207
1.341379 -5.365517 -3.578008 8.943525
1.403448 -5.613793 -3.508059 9.121852
1.465517 -5.862069 -3.440069 9.302138
1.527586 -6.110345 -3.373986 9.484331
1.589655 -6.358621 -3.309758 9.668379
1.651724 -6.606897 -3.247336 9.854232
1.713793 -6.855172 -3.186667 10.041840
1.775862 -7.103448 -3.127703 10.231151
1.837931 -7.351724 -3.070393 10.422117
1.900000 -7.600000 -3.014690 10.614690
