2022-02-23 23:15:55.272189 > 	Starting compilation of LCUcircZbasis
2022-02-23 23:15:59.768110 > 	Popped a node with score: 0.18631444853791768 at depth: 5
2022-02-23 23:15:59.768195 > 	Popped a node with score: 0.21402563168097477 at depth: 5
2022-02-23 23:15:59.768271 > 	Popped a node with score: 0.22346917236546193 at depth: 5
2022-02-23 23:15:59.768343 > 	Popped a node with score: 0.22493033219899428 at depth: 5
2022-02-23 23:15:59.768410 > 	Popped a node with score: 0.23330901943734372 at depth: 5
2022-02-23 23:15:59.768547 > 	Popped a node with score: 0.23330902975616952 at depth: 5
2022-02-23 23:16:00.390632 > 	New best! score: 0.06113125924229457 at depth: 6
2022-02-23 23:16:00.485007 > 	New best! score: 0.05462530983422076 at depth: 6
2022-02-23 23:16:02.310282 > 	Layer completed after 2.5415993817150593 seconds
2022-02-23 23:16:02.326654 > 	Popped a node with score: 0.05462530983422076 at depth: 6
2022-02-23 23:16:02.327113 > 	Popped a node with score: 0.055076219447262265 at depth: 6
2022-02-23 23:16:02.327318 > 	Popped a node with score: 0.06113125924229457 at depth: 6
2022-02-23 23:16:02.327402 > 	Popped a node with score: 0.06941095723726054 at depth: 6
2022-02-23 23:16:02.327490 > 	Popped a node with score: 0.08189762815125357 at depth: 6
2022-02-23 23:16:02.327622 > 	Popped a node with score: 0.08300329945734586 at depth: 6
2022-02-23 23:16:02.327713 > 	Popped a node with score: 0.08300430951334115 at depth: 6
2022-02-23 23:16:02.327795 > 	Popped a node with score: 0.0831319762490309 at depth: 6
2022-02-23 23:16:02.327877 > 	Popped a node with score: 0.08340329768962063 at depth: 6
2022-02-23 23:16:02.327956 > 	Popped a node with score: 0.08343998062550029 at depth: 6
2022-02-23 23:16:02.328044 > 	Popped a node with score: 0.08470813129751709 at depth: 6
2022-02-23 23:16:02.328118 > 	Popped a node with score: 0.08475790553014606 at depth: 6
2022-02-23 23:16:02.328205 > 	Popped a node with score: 0.08560379735510726 at depth: 6
2022-02-23 23:16:02.328288 > 	Popped a node with score: 0.08560379753521752 at depth: 6
2022-02-23 23:16:02.328669 > 	Popped a node with score: 0.08565202140426653 at depth: 6
2022-02-23 23:16:02.328714 > 	Popped a node with score: 0.08856837797046158 at depth: 6
2022-02-23 23:16:02.328755 > 	Popped a node with score: 0.08856837818105434 at depth: 6
2022-02-23 23:16:02.328796 > 	Popped a node with score: 0.08856837919731697 at depth: 6
2022-02-23 23:16:02.328835 > 	Popped a node with score: 0.09193288865501392 at depth: 6
2022-02-23 23:16:02.328873 > 	Popped a node with score: 0.09193288890282014 at depth: 6
2022-02-23 23:16:02.328913 > 	Popped a node with score: 0.09420332745709858 at depth: 6
2022-02-23 23:16:02.328958 > 	Popped a node with score: 0.09420332792631747 at depth: 6
2022-02-23 23:16:02.329000 > 	Popped a node with score: 0.09420332825056998 at depth: 6
