2022-02-23 23:12:45.319265 > 	Starting compilation of PauliX101
2022-02-23 23:12:45.319685 > 	There are 56 processors available to Pool.
2022-02-23 23:12:45.319732 > 	The branching factor is 2.
2022-02-23 23:12:45.319771 > 	The beam factor is 28.
2022-02-23 23:12:45.454734 > 	Creating a pool of 56 workers
2022-02-23 23:12:45.642381 > 	New best! 0.03422712715611048 at depth 0
2022-02-23 23:12:45.642931 > 	Popped a node with score: 0.3422712715611048 at depth: 0
2022-02-23 23:12:45.951284 > 	New best! score: 0.3255866115031587 at depth: 1
2022-02-23 23:12:46.328199 > 	Layer completed after 0.6851364597678185 seconds
2022-02-23 23:12:46.329251 > 	Popped a node with score: 0.3255866115031587 at depth: 1
2022-02-23 23:12:46.329505 > 	Popped a node with score: 0.3359017889265178 at depth: 1
2022-02-23 23:12:46.504189 > 	New best! score: 0.2715069654765079 at depth: 2
2022-02-23 23:12:46.760798 > 	Layer completed after 0.4311237521469593 seconds
2022-02-23 23:12:46.762124 > 	Popped a node with score: 0.2715069654765079 at depth: 2
2022-02-23 23:12:46.762289 > 	Popped a node with score: 0.2998089490777919 at depth: 2
2022-02-23 23:12:46.762428 > 	Popped a node with score: 0.32329937055854285 at depth: 2
2022-02-23 23:12:46.762898 > 	Popped a node with score: 0.3232993980341098 at depth: 2
2022-02-23 23:12:46.967873 > 	New best! score: 0.2714272449424643 at depth: 3
2022-02-23 23:12:47.054866 > 	New best! score: 0.20288207587662022 at depth: 3
2022-02-23 23:12:47.148717 > 	Layer completed after 0.3856138326227665 seconds
2022-02-23 23:12:47.154027 > 	Popped a node with score: 0.20288207587662022 at depth: 3
2022-02-23 23:12:47.154204 > 	Popped a node with score: 0.26209863605841777 at depth: 3
2022-02-23 23:12:47.154341 > 	Popped a node with score: 0.26209863803405375 at depth: 3
2022-02-23 23:12:47.154458 > 	Popped a node with score: 0.2714272449424643 at depth: 3
2022-02-23 23:12:47.154573 > 	Popped a node with score: 0.27364626662379476 at depth: 3
2022-02-23 23:12:47.155077 > 	Popped a node with score: 0.2736462704892846 at depth: 3
2022-02-23 23:12:47.155264 > 	Popped a node with score: 0.2748180987378982 at depth: 3
2022-02-23 23:12:47.155380 > 	Popped a node with score: 0.2998089440613979 at depth: 3
2022-02-23 23:12:47.464920 > 	New best! score: 0.19831037986920008 at depth: 4
2022-02-23 23:12:47.488111 > 	New best! score: 0.1032646547499777 at depth: 4
2022-02-23 23:12:47.507167 > 	New best! score: 0.10326465381209537 at depth: 4
2022-02-23 23:12:47.922419 > 	Layer completed after 0.7668567262589931 seconds
2022-02-23 23:12:47.929137 > 	Popped a node with score: 0.10326465381209537 at depth: 4
2022-02-23 23:12:47.929356 > 	Popped a node with score: 0.1032646547499777 at depth: 4
2022-02-23 23:12:47.929494 > 	Popped a node with score: 0.1561679369489244 at depth: 4
2022-02-23 23:12:47.929750 > 	Popped a node with score: 0.1606666057967674 at depth: 4
2022-02-23 23:12:47.930249 > 	Popped a node with score: 0.19831037986920008 at depth: 4
2022-02-23 23:12:47.930335 > 	Popped a node with score: 0.2128529703463522 at depth: 4
2022-02-23 23:12:47.930411 > 	Popped a node with score: 0.21285297290865035 at depth: 4
2022-02-23 23:12:47.930490 > 	Popped a node with score: 0.22907283107337284 at depth: 4
2022-02-23 23:12:47.930581 > 	Popped a node with score: 0.261331040850458 at depth: 4
2022-02-23 23:12:47.930675 > 	Popped a node with score: 0.26133104753800784 at depth: 4
2022-02-23 23:12:47.930759 > 	Popped a node with score: 0.2714272454884593 at depth: 4
2022-02-23 23:12:47.930832 > 	Popped a node with score: 0.2736462651168079 at depth: 4
2022-02-23 23:12:47.930903 > 	Popped a node with score: 0.27364626583037877 at depth: 4
2022-02-23 23:12:47.930997 > 	Popped a node with score: 0.27364626880456633 at depth: 4
2022-02-23 23:12:47.931085 > 	Popped a node with score: 0.2736462688592708 at depth: 4
2022-02-23 23:12:47.931159 > 	Popped a node with score: 0.29980894459242635 at depth: 4
2022-02-23 23:12:48.228323 > 	New best! score: 0.10239408816032425 at depth: 5
2022-02-23 23:12:48.246966 > 	New best! score: 0.0838428225419453 at depth: 5
2022-02-23 23:12:48.297185 > 	New best! score: 0.08382945237317485 at depth: 5
