2022-02-23 23:08:40.855635 > 	Starting compilation of Phi01
2022-02-23 23:08:49.607478 > 	Popped a node with score: 0.18631445170704186 at depth: 5
2022-02-23 23:08:49.607550 > 	Popped a node with score: 0.21402563146269793 at depth: 5
2022-02-23 23:08:49.607616 > 	Popped a node with score: 0.2140256348240126 at depth: 5
2022-02-23 23:08:49.607682 > 	Popped a node with score: 0.22346917202113892 at depth: 5
2022-02-23 23:08:49.607748 > 	Popped a node with score: 0.22990652017571434 at depth: 5
2022-02-23 23:08:49.607812 > 	Popped a node with score: 0.23602314815574565 at depth: 5
2022-02-23 23:08:50.046277 > 	New best! score: 0.08560379748303126 at depth: 6
2022-02-23 23:08:50.145024 > 	New best! score: 0.06941095614343729 at depth: 6
2022-02-23 23:08:50.268515 > 	New best! score: 0.06941095596174285 at depth: 6
2022-02-23 23:08:50.706771 > 	New best! score: 0.05490466571164365 at depth: 6
2022-02-23 23:08:50.845808 > 	New best! score: 0.054888202618312176 at depth: 6
2022-02-23 23:08:52.195046 > 	Layer completed after 2.587081164121628 seconds
2022-02-23 23:08:52.221871 > 	Popped a node with score: 0.054888202618312176 at depth: 6
2022-02-23 23:08:52.221982 > 	Popped a node with score: 0.05490466571164365 at depth: 6
2022-02-23 23:08:52.222071 > 	Popped a node with score: 0.06941095596174285 at depth: 6
2022-02-23 23:08:52.222142 > 	Popped a node with score: 0.06941095614343729 at depth: 6
2022-02-23 23:08:52.222212 > 	Popped a node with score: 0.08402990200768612 at depth: 6
2022-02-23 23:08:52.222277 > 	Popped a node with score: 0.08560379732184298 at depth: 6
2022-02-23 23:08:52.222339 > 	Popped a node with score: 0.08560379748303126 at depth: 6
2022-02-23 23:08:52.222401 > 	Popped a node with score: 0.08560379749449343 at depth: 6
2022-02-23 23:08:52.222462 > 	Popped a node with score: 0.0856037975057854 at depth: 6
2022-02-23 23:08:52.222524 > 	Popped a node with score: 0.08560379754609804 at depth: 6
2022-02-23 23:08:52.222584 > 	Popped a node with score: 0.08560379756637204 at depth: 6
2022-02-23 23:08:52.222661 > 	Popped a node with score: 0.08560379834222054 at depth: 6
2022-02-23 23:08:52.222723 > 	Popped a node with score: 0.08560379899522585 at depth: 6
2022-02-23 23:08:52.222783 > 	Popped a node with score: 0.08560379917022432 at depth: 6
2022-02-23 23:08:52.222843 > 	Popped a node with score: 0.0856037998087702 at depth: 6
2022-02-23 23:08:52.222903 > 	Popped a node with score: 0.08560380020979719 at depth: 6
2022-02-23 23:08:52.222974 > 	Popped a node with score: 0.08560382527644028 at depth: 6
2022-02-23 23:08:52.223040 > 	Popped a node with score: 0.08931378763963183 at depth: 6
2022-02-23 23:08:52.223101 > 	Popped a node with score: 0.08931378770557052 at depth: 6
2022-02-23 23:08:52.223161 > 	Popped a node with score: 0.08931378776474475 at depth: 6
2022-02-23 23:08:52.223228 > 	Popped a node with score: 0.08931378826370551 at depth: 6
2022-02-23 23:08:52.223288 > 	Popped a node with score: 0.0893137885491172 at depth: 6
2022-02-23 23:08:52.223348 > 	Popped a node with score: 0.10376122199486504 at depth: 6
2022-02-23 23:08:52.223408 > 	Popped a node with score: 0.10382446293847836 at depth: 6
2022-02-23 23:08:52.223468 > 	Popped a node with score: 0.10976166872972004 at depth: 6
2022-02-23 23:08:52.223528 > 	Popped a node with score: 0.12008534961603945 at depth: 6
2022-02-23 23:08:52.223588 > 	Popped a node with score: 0.13002195705713726 at depth: 6
2022-02-23 23:08:52.223648 > 	Popped a node with score: 0.23602314815577718 at depth: 5
2022-02-23 23:08:53.080643 > 	New best! score: 0.05485306988454153 at depth: 7
2022-02-23 23:08:53.089681 > 	New best! score: 0.04238808916648462 at depth: 7
2022-02-23 23:08:53.232408 > 	New best! score: 0.03641297282271849 at depth: 7
2022-02-23 23:08:53.297338 > 	New best! score: 0.03641297256791787 at depth: 7
2022-02-23 23:08:54.553595 > 	Layer completed after 2.329810932278633 seconds
2022-02-23 23:08:54.596075 > 	Popped a node with score: 0.08931378820558666 at depth: 6
2022-02-23 23:08:54.596160 > 	Popped a node with score: 0.2360231487530765 at depth: 5
2022-02-23 23:08:54.596227 > 	Popped a node with score: 0.2360231498500971 at depth: 5
