Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,82.3,142.73,5,-0.33689,4.540e-2,0.0742,0.0166,5048.889,2.432e-4,2.432e-4,2.432e-4,0_1:9.765e-3,0_1:689.778
Q1,105.77,45.05,4.85,-0.32571,7.250e-2,0.0924,0.0526,5048.889,3.459e-4,3.459e-4,3.459e-4,1_2:6.895e-3; 1_0:9.765e-3,1_2:298.667; 1_0:654.222
Q2,111.6,178.6,4.783,-0.34287,3.190e-2,0.0538,0.01,5048.889,1.634e-4,1.634e-4,1.634e-4,2_3:9.015e-3; 2_1:6.895e-3,2_3:341.333; 2_1:334.222
Q3,110.1,194.67,4.858,-0.32528,2.650e-2,0.0424,0.0106,5048.889,2.135e-4,2.135e-4,2.135e-4,3_4:7.722e-3; 3_2:9.015e-3,3_4:369.778; 3_2:305.778
Q4,62.11,116.61,4.978,-0.33796,2.280e-2,0.0362,0.0094,5048.889,2.644e-4,2.644e-4,2.644e-4,4_3:7.722e-3,4_3:334.222
