Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q0,194.39,119.73,4.963,-0.34335,2.020e-2,0.0306,0.0098,5351.111,2.239e-4,2.239e-4,2.239e-4,0_1:5.948e-3,0_1:277.333
Q1,178.45,55.81,4.838,-0.34621,2.630e-2,0.0248,0.0278,5351.111,1.978e-4,1.978e-4,1.978e-4,1_2:1.180e-2; 1_0:5.948e-3,1_2:469.333; 1_0:312.889
Q2,118.63,22.6,5.037,-0.34366,3.680e-2,0.053,0.0206,5351.111,2.867e-4,2.867e-4,2.867e-4,2_3:6.757e-3; 2_1:1.180e-2,2_3:355.556; 2_1:504.889
Q3,182.67,65.14,4.951,-0.34355,2.100e-2,0.0294,0.0126,5351.111,1.878e-4,1.878e-4,1.878e-4,3_4:5.721e-3; 3_2:6.757e-3,3_4:334.222; 3_2:391.111
Q4,157.35,40.39,5.066,-0.34211,1.990e-2,0.0318,0.008,5351.111,4.031e-4,4.031e-4,4.031e-4,4_3:5.721e-3,4_3:298.667
