 (-2.019836221648746211e+00+0.000000000000000000e+00j)  (-9.002737909587682497e-02+0.000000000000000000e+00j)  (-2.019833320751217798e+00+0.000000000000000000e+00j)  (-8.971276615503633034e-02+0.000000000000000000e+00j)  (-2.000000000000000000e+00+0.000000000000000000e+00j)  (-1.000000000000000056e-01+0.000000000000000000e+00j)  (-2.000000000000000444e+00+0.000000000000000000e+00j)  (-1.000000000000000056e-01+0.000000000000000000e+00j)  (5.000000000000000278e-02+0.000000000000000000e+00j)
 (-2.020972398882029175e+00+0.000000000000000000e+00j)  (-4.838788204367984180e-01+0.000000000000000000e+00j)  (-2.020940378670837312e+00+0.000000000000000000e+00j)  (-4.869506233623485114e-01+0.000000000000000000e+00j)  (-2.000000000000000000e+00+0.000000000000000000e+00j)  (-5.000000000000000000e-01+0.000000000000000000e+00j)  (-2.000000000000000444e+00+0.000000000000000000e+00j)  (-5.000000000000000000e-01+0.000000000000000000e+00j)  (2.500000000000000000e-01+0.000000000000000000e+00j)
 (-2.024191351207177192e+00+0.000000000000000000e+00j)  (-8.756474866858545703e-01+0.000000000000000000e+00j)  (-2.023967364492953891e+00+0.000000000000000000e+00j)  (-8.822685526671626421e-01+0.000000000000000000e+00j)  (-2.000000000000000000e+00+0.000000000000000000e+00j)  (-9.000000000000000222e-01+0.000000000000000000e+00j)  (-2.000000000000000444e+00+0.000000000000000000e+00j)  (-9.000000000000000222e-01+0.000000000000000000e+00j)  (4.500000000000000111e-01+0.000000000000000000e+00j)
 (-2.032657043333637947e+00+0.000000000000000000e+00j)  (-1.262169413133598317e+00+0.000000000000000000e+00j)  (-2.031902118371521571e+00+0.000000000000000000e+00j)  (-1.272678713915524673e+00+0.000000000000000000e+00j)  (-2.000000000000000000e+00+0.000000000000000000e+00j)  (-1.300000000000000266e+00+0.000000000000000000e+00j)  (-2.000000000000000444e+00+0.000000000000000000e+00j)  (-1.300000000000000266e+00+0.000000000000000000e+00j)  (6.500000000000001332e-01+0.000000000000000000e+00j)
 (-2.060633257289357978e+00+0.000000000000000000e+00j)  (-1.629180817752083454e+00+0.000000000000000000e+00j)  (-2.058801107180336931e+00+0.000000000000000000e+00j)  (-1.644124640233640910e+00+0.000000000000000000e+00j)  (-2.000000000000000000e+00+0.000000000000000000e+00j)  (-1.700000000000000178e+00+0.000000000000000000e+00j)  (-2.000000000000000444e+00+0.000000000000000000e+00j)  (-1.700000000000000178e+00+0.000000000000000000e+00j)  (8.500000000000000888e-01+0.000000000000000000e+00j)
 (-2.197846228376196365e+00+0.000000000000000000e+00j)  (-1.886955465239448237e+00+0.000000000000000000e+00j)  (-2.200706447763050910e+00+0.000000000000000000e+00j)  (-1.900564214777857419e+00+0.000000000000000000e+00j)  (-2.100000000000000089e+00+0.000000000000000000e+00j)  (-2.000000000000000000e+00+0.000000000000000000e+00j)  (-2.100000000000000089e+00+0.000000000000000000e+00j)  (-2.000000000000000444e+00+0.000000000000000000e+00j)  (1.050000000000000044e+00+0.000000000000000000e+00j)
 (-2.525007250237364609e+00+0.000000000000000000e+00j)  (-1.954782061952485384e+00+0.000000000000000000e+00j)  (-2.537386708966979487e+00+0.000000000000000000e+00j)  (-1.962228868700860218e+00+0.000000000000000000e+00j)  (-2.500000000000000444e+00+0.000000000000000000e+00j)  (-2.000000000000000000e+00+0.000000000000000000e+00j)  (-2.500000000000000444e+00+0.000000000000000000e+00j)  (-2.000000000000000444e+00+0.000000000000000000e+00j)  (1.250000000000000222e+00+0.000000000000000000e+00j)
 (-2.904202749609435585e+00+0.000000000000000000e+00j)  (-1.970574181154617355e+00+0.000000000000000000e+00j)  (-2.921769870816677717e+00+0.000000000000000000e+00j)  (-1.976190621978093143e+00+0.000000000000000000e+00j)  (-2.900000000000000355e+00+0.000000000000000000e+00j)  (-2.000000000000000000e+00+0.000000000000000000e+00j)  (-2.900000000000000355e+00+0.000000000000000000e+00j)  (-2.000000000000000444e+00+0.000000000000000000e+00j)  (1.450000000000000178e+00+0.000000000000000000e+00j)
 (-3.293701233497188685e+00+0.000000000000000000e+00j)  (-1.976063315841068979e+00+0.000000000000000000e+00j)  (-3.315240794820110359e+00+0.000000000000000000e+00j)  (-1.981064613101592986e+00+0.000000000000000000e+00j)  (-3.300000000000000266e+00+0.000000000000000000e+00j)  (-2.000000000000000000e+00+0.000000000000000000e+00j)  (-3.300000000000000266e+00+0.000000000000000000e+00j)  (-2.000000000000000444e+00+0.000000000000000000e+00j)  (1.650000000000000133e+00+0.000000000000000000e+00j)
 (-3.686583157795033205e+00+0.000000000000000000e+00j)  (-1.978169010117426074e+00+0.000000000000000000e+00j)  (-3.711692624660243300e+00+0.000000000000000000e+00j)  (-1.982957698388386536e+00+0.000000000000000000e+00j)  (-3.700000000000000178e+00+0.000000000000000000e+00j)  (-2.000000000000000000e+00+0.000000000000000000e+00j)  (-3.700000000000000178e+00+0.000000000000000000e+00j)  (-2.000000000000000444e+00+0.000000000000000000e+00j)  (1.850000000000000089e+00+0.000000000000000000e+00j)
