2022-02-23 23:16:55.103206 > 	Starting compilation of LCUcircYbasis
2022-02-23 23:16:59.741561 > 	Popped a node with score: 0.18631444005060083 at depth: 5
2022-02-23 23:16:59.741599 > 	Popped a node with score: 0.21402563248648565 at depth: 5
2022-02-23 23:16:59.741639 > 	Popped a node with score: 0.22346917230604868 at depth: 5
2022-02-23 23:16:59.741691 > 	Popped a node with score: 0.22493033373935534 at depth: 5
2022-02-23 23:16:59.741744 > 	Popped a node with score: 0.23330901611757449 at depth: 5
2022-02-23 23:16:59.741788 > 	Popped a node with score: 0.23330903149262905 at depth: 5
2022-02-23 23:17:00.584003 > 	New best! score: 0.08343998066836378 at depth: 6
2022-02-23 23:17:00.626694 > 	New best! score: 0.06941095608878767 at depth: 6
2022-02-23 23:17:00.670056 > 	New best! score: 0.055076219384644354 at depth: 6
2022-02-23 23:17:00.909236 > 	New best! score: 0.051783683003396086 at depth: 6
2022-02-23 23:17:00.956913 > 	New best! score: 0.04650831092349428 at depth: 6
2022-02-23 23:17:01.504567 > 	Layer completed after 1.762676790356636 seconds
2022-02-23 23:17:01.520100 > 	Popped a node with score: 0.04650831092349428 at depth: 6
2022-02-23 23:17:01.520777 > 	Popped a node with score: 0.051783683003396086 at depth: 6
2022-02-23 23:17:01.520839 > 	Popped a node with score: 0.055076219384644354 at depth: 6
2022-02-23 23:17:01.520888 > 	Popped a node with score: 0.06113125933240704 at depth: 6
2022-02-23 23:17:01.520935 > 	Popped a node with score: 0.06941095608878767 at depth: 6
2022-02-23 23:17:01.520990 > 	Popped a node with score: 0.08169487581865531 at depth: 6
2022-02-23 23:17:01.521034 > 	Popped a node with score: 0.08189762812971679 at depth: 6
2022-02-23 23:17:01.521077 > 	Popped a node with score: 0.08284080164031815 at depth: 6
2022-02-23 23:17:01.521119 > 	Popped a node with score: 0.0830032992433748 at depth: 6
2022-02-23 23:17:01.521161 > 	Popped a node with score: 0.08313197711413933 at depth: 6
2022-02-23 23:17:01.521203 > 	Popped a node with score: 0.08340329756418963 at depth: 6
2022-02-23 23:17:01.521254 > 	Popped a node with score: 0.08343998066836378 at depth: 6
2022-02-23 23:17:01.521297 > 	Popped a node with score: 0.08470813180104775 at depth: 6
2022-02-23 23:17:01.521338 > 	Popped a node with score: 0.08475790552268436 at depth: 6
2022-02-23 23:17:01.521379 > 	Popped a node with score: 0.0856037975083852 at depth: 6
2022-02-23 23:17:01.521420 > 	Popped a node with score: 0.08560379777747484 at depth: 6
2022-02-23 23:17:01.521462 > 	Popped a node with score: 0.08560379782324734 at depth: 6
2022-02-23 23:17:01.521503 > 	Popped a node with score: 0.08565202016633666 at depth: 6
2022-02-23 23:17:01.521545 > 	Popped a node with score: 0.08856837810127272 at depth: 6
2022-02-23 23:17:01.521585 > 	Popped a node with score: 0.08856837865097456 at depth: 6
2022-02-23 23:17:01.521625 > 	Popped a node with score: 0.08856838035528913 at depth: 6
2022-02-23 23:17:01.521665 > 	Popped a node with score: 0.09193288858739157 at depth: 6
2022-02-23 23:17:01.521705 > 	Popped a node with score: 0.09193288890791007 at depth: 6
2022-02-23 23:17:01.521744 > 	Popped a node with score: 0.09420332735240133 at depth: 6
2022-02-23 23:17:01.521785 > 	Popped a node with score: 0.09420332811737497 at depth: 6
2022-02-23 23:17:01.521826 > 	Popped a node with score: 0.10117689717018008 at depth: 6
2022-02-23 23:17:01.521866 > 	Popped a node with score: 0.10117689732167967 at depth: 6
2022-02-23 23:17:01.521906 > 	Popped a node with score: 0.10117689732882984 at depth: 6
2022-02-23 23:17:02.297852 > 	New best! score: 0.03641297267936516 at depth: 7
2022-02-23 23:17:02.476704 > 	New best! score: 0.03641297255884668 at depth: 7
2022-02-23 23:17:02.575332 > 	New best! score: 0.03576853169451977 at depth: 7
2022-02-23 23:17:04.343399 > 	Layer completed after 2.82136008143425 seconds
2022-02-23 23:17:04.475013 > 	Popped a node with score: 0.10976166930591569 at depth: 6
2022-02-23 23:17:04.475081 > 	Popped a node with score: 0.11121074433617284 at depth: 6
2022-02-23 23:17:04.475129 > 	Popped a node with score: 0.2333090345586647 at depth: 5
2022-02-23 23:17:04.475172 > 	Popped a node with score: 0.13519388981635538 at depth: 6
2022-02-23 23:17:04.475213 > 	Popped a node with score: 0.13562967437365103 at depth: 6
2022-02-23 23:17:04.475253 > 	Popped a node with score: 0.03576853169451977 at depth: 7
2022-02-23 23:17:04.475293 > 	Popped a node with score: 0.036412972529082044 at depth: 7
2022-02-23 23:17:04.475332 > 	Popped a node with score: 0.03641297255884668 at depth: 7
2022-02-23 23:17:04.475371 > 	Popped a node with score: 0.03641297267936516 at depth: 7
2022-02-23 23:17:04.475410 > 	Popped a node with score: 0.03776087827142571 at depth: 7
2022-02-23 23:17:04.475448 > 	Popped a node with score: 0.0383152565940168 at depth: 7
2022-02-23 23:17:04.475486 > 	Popped a node with score: 0.23941378095172294 at depth: 5
2022-02-23 23:17:04.475524 > 	Popped a node with score: 0.04098272306842177 at depth: 7
2022-02-23 23:17:04.475562 > 	Popped a node with score: 0.14174162603969798 at depth: 6
2022-02-23 23:17:04.475599 > 	Popped a node with score: 0.14174162616670039 at depth: 6
2022-02-23 23:17:04.475637 > 	Popped a node with score: 0.24211310438144495 at depth: 5
2022-02-23 23:17:04.475675 > 	Popped a node with score: 0.14298758694428426 at depth: 6
2022-02-23 23:17:04.475713 > 	Popped a node with score: 0.1432554417210331 at depth: 6
2022-02-23 23:17:04.475750 > 	Popped a node with score: 0.045739954337202904 at depth: 7
2022-02-23 23:17:04.475790 > 	Popped a node with score: 0.04609285679394015 at depth: 7
2022-02-23 23:17:04.475828 > 	Popped a node with score: 0.24896489936134558 at depth: 5
2022-02-23 23:17:04.475865 > 	Popped a node with score: 0.05158528547069341 at depth: 7
2022-02-23 23:17:04.475902 > 	Popped a node with score: 0.051585285612545606 at depth: 7
2022-02-23 23:17:04.475947 > 	Popped a node with score: 0.05158528584006017 at depth: 7
2022-02-23 23:17:04.475990 > 	Popped a node with score: 0.05311707451956216 at depth: 7
2022-02-23 23:17:04.476028 > 	Popped a node with score: 0.05462348743940759 at depth: 7
2022-02-23 23:17:04.476075 > 	Popped a node with score: 0.054853069159941925 at depth: 7
2022-02-23 23:17:04.476114 > 	Popped a node with score: 0.0548530694929783 at depth: 7
2022-02-23 23:17:05.150664 > 	New best! score: -4.440892098500626e-16 at depth: 8
2022-02-23 23:17:08.148484 > 	Layer completed after 3.6720602177083492 seconds
2022-02-23 23:17:08.253916 > 	Finished compilation at depth 8 with score -4.440892098500626e-16 after 13.150343868881464 seconds.
2022-02-23 23:17:08.255501 > 	Finished compilation of LCUcircYbasis
2022-02-23 23:17:08.256256 > 	Recorded results from compilation.
2022-02-23 23:17:08.256521 > 	Deleted checkpoint file.
