2022-02-24 15:51:13.705363 > 	PauliX011	Complete!
2022-02-24 15:51:13.705397 > 	PauliX0X111	Complete!
2022-02-24 15:51:13.705432 > 	PauliY0Y111	Complete!
2022-02-24 15:51:13.705467 > 	PauliZ111	Complete!
2022-02-24 15:51:13.705502 > 	PauliX111	Complete!
2022-02-24 15:51:13.705569 > 	Started running project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:13.705696 > 	Phi01	Complete!
2022-02-24 15:51:13.705748 > 	PauliZ000	Complete!
2022-02-24 15:51:13.705802 > 	PauliX000	Complete!
2022-02-24 15:51:13.705855 > 	PauliX0X100	Complete!
2022-02-24 15:51:13.705901 > 	PauliY0Y100	Complete!
2022-02-24 15:51:13.705950 > 	PauliZ100	Complete!
2022-02-24 15:51:13.705990 > 	PauliX100	Complete!
2022-02-24 15:51:13.706026 > 	PauliZ001	Complete!
2022-02-24 15:51:13.706068 > 	PauliX001	Complete!
2022-02-24 15:51:13.706111 > 	PauliX0X101	Complete!
2022-02-24 15:51:13.706153 > 	PauliY0Y101	Complete!
2022-02-24 15:51:13.706197 > 	PauliZ101	Complete!
2022-02-24 15:51:13.706245 > 	PauliX101	Complete!
2022-02-24 15:51:13.706288 > 	PauliZ011	Complete!
2022-02-24 15:51:13.706333 > 	PauliX011	Complete!
2022-02-24 15:51:13.706375 > 	PauliX0X111	Complete!
2022-02-24 15:51:13.706418 > 	PauliY0Y111	Complete!
2022-02-24 15:51:13.706464 > 	PauliZ111	Complete!
2022-02-24 15:51:13.706502 > 	PauliX111	Complete!
2022-02-24 15:51:13.706646 > 	Finished running project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:13.751471 > 	Successfully loaded project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:13.751575 > 	Phi01	Complete!
2022-02-24 15:51:13.751623 > 	PauliZ000	Complete!
2022-02-24 15:51:13.751662 > 	PauliX000	Complete!
2022-02-24 15:51:13.751700 > 	PauliX0X100	Complete!
2022-02-24 15:51:13.751747 > 	PauliY0Y100	Complete!
2022-02-24 15:51:13.751798 > 	PauliZ100	Complete!
2022-02-24 15:51:13.751860 > 	PauliX100	Complete!
2022-02-24 15:51:13.751899 > 	PauliZ001	Complete!
2022-02-24 15:51:13.751938 > 	PauliX001	Complete!
2022-02-24 15:51:13.751975 > 	PauliX0X101	Complete!
2022-02-24 15:51:13.752012 > 	PauliY0Y101	Complete!
2022-02-24 15:51:13.752050 > 	PauliZ101	Complete!
2022-02-24 15:51:13.752094 > 	PauliX101	Complete!
2022-02-24 15:51:13.752132 > 	PauliZ011	Complete!
2022-02-24 15:51:13.752169 > 	PauliX011	Complete!
2022-02-24 15:51:13.752206 > 	PauliX0X111	Complete!
2022-02-24 15:51:13.752242 > 	PauliY0Y111	Complete!
2022-02-24 15:51:13.752279 > 	PauliZ111	Complete!
2022-02-24 15:51:13.752316 > 	PauliX111	Complete!
2022-02-24 15:51:13.752419 > 	Started running project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:13.752586 > 	Phi01	Complete!
2022-02-24 15:51:13.752633 > 	PauliZ000	Complete!
2022-02-24 15:51:13.752674 > 	PauliX000	Complete!
2022-02-24 15:51:13.752712 > 	PauliX0X100	Complete!
2022-02-24 15:51:13.752749 > 	PauliY0Y100	Complete!
2022-02-24 15:51:13.752790 > 	PauliZ100	Complete!
2022-02-24 15:51:13.752846 > 	PauliX100	Complete!
2022-02-24 15:51:13.752886 > 	PauliZ001	Complete!
2022-02-24 15:51:13.752923 > 	PauliX001	Complete!
2022-02-24 15:51:13.752979 > 	PauliX0X101	Complete!
2022-02-24 15:51:13.753040 > 	PauliY0Y101	Complete!
2022-02-24 15:51:13.753092 > 	PauliZ101	Complete!
2022-02-24 15:51:13.753132 > 	PauliX101	Complete!
2022-02-24 15:51:13.753182 > 	PauliZ011	Complete!
2022-02-24 15:51:13.753240 > 	PauliX011	Complete!
2022-02-24 15:51:13.753296 > 	PauliX0X111	Complete!
2022-02-24 15:51:13.753343 > 	PauliY0Y111	Complete!
2022-02-24 15:51:13.753391 > 	PauliZ111	Complete!
2022-02-24 15:51:13.753434 > 	PauliX111	Complete!
2022-02-24 15:51:13.753603 > 	Finished running project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:13.815022 > 	Successfully loaded project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:13.815120 > 	Phi01	Complete!
2022-02-24 15:51:13.815173 > 	PauliZ000	Complete!
2022-02-24 15:51:13.815220 > 	PauliX000	Complete!
2022-02-24 15:51:13.815264 > 	PauliX0X100	Complete!
2022-02-24 15:51:13.815307 > 	PauliY0Y100	Complete!
2022-02-24 15:51:13.815350 > 	PauliZ100	Complete!
2022-02-24 15:51:13.815392 > 	PauliX100	Complete!
2022-02-24 15:51:13.815434 > 	PauliZ001	Complete!
2022-02-24 15:51:13.815476 > 	PauliX001	Complete!
2022-02-24 15:51:13.815518 > 	PauliX0X101	Complete!
2022-02-24 15:51:13.815560 > 	PauliY0Y101	Complete!
2022-02-24 15:51:13.815601 > 	PauliZ101	Complete!
2022-02-24 15:51:13.815643 > 	PauliX101	Complete!
2022-02-24 15:51:13.815692 > 	PauliZ011	Complete!
2022-02-24 15:51:13.815754 > 	PauliX011	Complete!
2022-02-24 15:51:13.815803 > 	PauliX0X111	Complete!
2022-02-24 15:51:13.815881 > 	PauliY0Y111	Complete!
2022-02-24 15:51:13.815947 > 	PauliZ111	Complete!
2022-02-24 15:51:13.816014 > 	PauliX111	Complete!
2022-02-24 15:51:13.816143 > 	Started running project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:13.816387 > 	Phi01	Complete!
2022-02-24 15:51:13.816457 > 	PauliZ000	Complete!
2022-02-24 15:51:13.816509 > 	PauliX000	Complete!
2022-02-24 15:51:13.816567 > 	PauliX0X100	Complete!
2022-02-24 15:51:13.816623 > 	PauliY0Y100	Complete!
2022-02-24 15:51:13.816681 > 	PauliZ100	Complete!
2022-02-24 15:51:13.816729 > 	PauliX100	Complete!
2022-02-24 15:51:13.816785 > 	PauliZ001	Complete!
2022-02-24 15:51:13.816838 > 	PauliX001	Complete!
2022-02-24 15:51:13.816894 > 	PauliX0X101	Complete!
2022-02-24 15:51:13.816949 > 	PauliY0Y101	Complete!
2022-02-24 15:51:13.816997 > 	PauliZ101	Complete!
2022-02-24 15:51:13.817050 > 	PauliX101	Complete!
2022-02-24 15:51:13.817098 > 	PauliZ011	Complete!
2022-02-24 15:51:13.817144 > 	PauliX011	Complete!
2022-02-24 15:51:13.817190 > 	PauliX0X111	Complete!
2022-02-24 15:51:13.817236 > 	PauliY0Y111	Complete!
2022-02-24 15:51:13.817282 > 	PauliZ111	Complete!
2022-02-24 15:51:13.817333 > 	PauliX111	Complete!
2022-02-24 15:51:13.817530 > 	Finished running project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:13.870536 > 	Successfully loaded project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:13.870615 > 	Phi01	Complete!
2022-02-24 15:51:13.870660 > 	PauliZ000	Complete!
2022-02-24 15:51:13.870700 > 	PauliX000	Complete!
2022-02-24 15:51:13.870738 > 	PauliX0X100	Complete!
2022-02-24 15:51:13.870775 > 	PauliY0Y100	Complete!
2022-02-24 15:51:13.870812 > 	PauliZ100	Complete!
2022-02-24 15:51:13.870860 > 	PauliX100	Complete!
2022-02-24 15:51:13.870900 > 	PauliZ001	Complete!
2022-02-24 15:51:13.870937 > 	PauliX001	Complete!
2022-02-24 15:51:13.871028 > 	PauliX0X101	Complete!
2022-02-24 15:51:13.871066 > 	PauliY0Y101	Complete!
2022-02-24 15:51:13.871102 > 	PauliZ101	Complete!
2022-02-24 15:51:13.871139 > 	PauliX101	Complete!
2022-02-24 15:51:13.871175 > 	PauliZ011	Complete!
2022-02-24 15:51:13.871211 > 	PauliX011	Complete!
2022-02-24 15:51:13.871247 > 	PauliX0X111	Complete!
2022-02-24 15:51:13.871282 > 	PauliY0Y111	Complete!
2022-02-24 15:51:13.871318 > 	PauliZ111	Complete!
2022-02-24 15:51:13.871353 > 	PauliX111	Complete!
2022-02-24 15:51:13.871428 > 	Started running project Z_meas2siteBx=0.1Bztrain[0.1, 1.3]
2022-02-24 15:51:13.871564 > 	Phi01	Complete!
2022-02-24 15:51:13.871606 > 	PauliZ000	Complete!
2022-02-24 15:51:13.871645 > 	PauliX000	Complete!
2022-02-24 15:51:13.871682 > 	PauliX0X100	Complete!
2022-02-24 15:51:13.871719 > 	PauliY0Y100	Complete!
2022-02-24 15:51:13.871764 > 	PauliZ100	Complete!
2022-02-24 15:51:13.871800 > 	PauliX100	Complete!
2022-02-24 15:51:13.871836 > 	PauliZ001	Complete!
2022-02-24 15:51:13.871872 > 	PauliX001	Complete!
2022-02-24 15:51:13.871908 > 	PauliX0X101	Complete!
2022-02-24 15:51:13.871944 > 	PauliY0Y101	Complete!
2022-02-24 15:51:13.871981 > 	PauliZ101	Complete!
2022-02-24 15:51:13.872017 > 	PauliX101	Complete!
